meanBER_cc,meanPER_cc,SNRpercomm_cc,meanAWGN_POWER_cc,meanUP_LOSS_cc,meanDOWN_LOSS_cc,meanTEMPERATURE_cc,meanWV_DENSITY_cc,meanUP_THERMAL_POWER_cc,meanDW_THERMAL_POWER_cc
0,0,8.0592,5.95e+05,44.257,41.393,288.06,0.00872,3.1435e-11,3.2084e-11
0,0,11.947,3.5033e+05,43.458,41.07,290.58,0.0051767,3.082e-11,2.6224e-11
0,0,11.461,3.0243e+05,44.549,42.38,285.1,0.0051883,3.7782e-11,2.924e-11
0.011598,0.66667,5.1052,6.2676e+05,43.774,44.136,282.62,0.005174,3.4973e-11,3.0064e-11
0,0,15.886,1.501e+05,43.607,41.548,289.08,0.0023147,3.0573e-11,2.9876e-11
0,0,9.6982,2.9137e+05,42.979,44.151,284.29,0.0058964,3.1212e-11,2.5422e-11
0,0,7.8715,1.2452e+06,43.425,40.89,291.44,0.0079994,3.3357e-11,3.2277e-11
0,0,16.584,2.2767e+05,41.146,41.65,294.85,0.013632,3.5549e-11,2.8976e-11
0,0,24.878,18765,43.232,40.852,291.53,0.0091122,3.6007e-11,2.6844e-11
0,0,20.946,16999,44.081,44.684,280.67,0.0020566,3.3026e-11,2.9667e-11
0,0,23.119,43038,41.656,39.952,297.35,0.0096446,3.5012e-11,3.1957e-11
0,0,10.758,3.6424e+05,43.838,41.26,289.12,0.0049313,3.5242e-11,3.2755e-11
0,0,7.187,4.2587e+05,43.695,44.108,282.79,0.006193,2.9675e-11,2.8619e-11
0,0,23.665,42431,41.258,39.825,298.63,0.0057286,3.3643e-11,3.2576e-11
0,0,14.812,1.3624e+05,44.469,40.458,289.63,0.011955,3.1898e-11,3.3274e-11
0,0,6.0693,8.9961e+05,42.438,43.147,288.46,0.0070549,2.9452e-11,3.0571e-11
0,0,15.238,1.5617e+05,43.429,41.852,288.67,0.0037348,3.5755e-11,3.4411e-11
0,0,8.6128,1.342e+06,39.822,41.92,297.25,0.0095945,3.7571e-11,3.2684e-11
0,0,7.7632,3.3632e+05,43.191,45.221,281.4,0.0039055,3.5451e-11,2.9899e-11
0,0,18.053,32155,45.109,43.065,282.24,0.0069503,3.0747e-11,3.4484e-11
0,0,7.9431,1.5914e+06,42.324,40.451,294.88,0.011647,3.3667e-11,2.7189e-11
0,0,21.717,53518,42.441,39.941,295.78,0.0094972,3.2337e-11,2.7054e-11
0,0,23.705,25830,41.698,41.477,293.67,0.0062969,3.3757e-11,3.0587e-11
0,0,8.4659,1.2838e+06,41.706,40.311,296.43,0.0088526,3.0746e-11,3.7091e-11
0,0,21.664,24673,43.645,43.717,283.96,0.0047203,3.6176e-11,2.8737e-11
0.0025773,0.66667,6.4045,1.5844e+06,43.805,38.781,295.4,0.01138,3.0301e-11,2.9335e-11
0,0,7.8919,1.1808e+06,44.284,39.744,292.12,0.0083542,3.6751e-11,3.0276e-11
0,0,24.984,35783,41.119,40.062,298.6,0.0082055,2.8913e-11,3.3412e-11
0,0,21.22,63857,42.167,40.467,294.94,0.0073082,3.24e-11,2.9275e-11
0,0,7.1516,1.2667e+06,42.235,42.638,289.72,0.0062859,3.5203e-11,3.1823e-11
0,0,16.244,1.1964e+05,41.871,42.738,290.3,0.0065554,3.5699e-11,2.6953e-11
0,0,17.413,67258,42.028,44.072,286.98,0.0089888,3.0518e-11,2.8472e-11
0,0,17.835,90307,42.823,41.274,291.32,0.0054336,3.3596e-11,3.0773e-11
0,0,20.978,1.0846e+05,41.844,39.306,299,0.0099528,3.5738e-11,3.1287e-11
0,0,16.826,1.986e+05,41.671,40.644,295.86,0.012905,2.9635e-11,2.9867e-11
0,0,11.625,6.067e+05,41.155,41.215,295.64,0.0088173,3.5411e-11,2.891e-11
0,0,14.142,1.0487e+05,44.65,43.235,282.69,0.0053189,3.4806e-11,3.3054e-11
0,0,23.931,24739,41.734,42.339,291.49,0.0091904,2.9867e-11,3.2972e-11
0,0,24.653,19994,42.607,41.203,292.19,0.010309,3.2705e-11,2.8482e-11
